County Name,Total Population,Median Age,White Alone,Black/African American,Hispanic or Latino,Asian Alone,Median Household Income,Per Capita Income,Persons in Poverty,Unemployment Count,Total Housing Units,Median Gross Rent,Median Home Value,state,county
"Duval County, Texas",9960,35.5,7444,85,8834,0,50697,21606,2017,334,4469,870,76000,48,131
"Eastland County, Texas",17812,41.5,15351,431,3088,80,52902,31197,2738,395,9414,745,110500,48,133
"Ector County, Texas",162300,31.0,97752,8058,103201,1951,70566,34267,25297,4604,66082,1232,175600,48,135
"Edwards County, Texas",1380,40.2,1226,14,683,0,40809,25218,315,0,1004,680,86800,48,137
"Ellis County, Texas",195509,36.2,135604,24584,53807,1420,93248,38628,15850,4081,69624,1345,275800,48,139
"El Paso County, Texas",863832,32.8,428762,27772,716538,10820,55417,26011,165778,26909,317665,978,153600,48,141
"Erath County, Texas",42788,31.6,35153,604,9334,415,59654,32181,6667,1247,18311,1070,219600,48,143
"Falls County, Texas",17013,40.0,9702,3513,4216,1279,45172,29183,2400,498,7455,691,103400,48,145
"Fannin County, Texas",36052,40.4,30856,2175,4557,159,65835,33481,4237,749,14667,979,193200,48,147
"Fayette County, Texas",24564,48.0,20364,1467,5414,90,72881,37849,2451,389,13198,885,254200,48,149
"Fisher County, Texas",3680,42.2,2718,113,1207,9,60461,32722,442,54,2038,605,82700,48,151
"Floyd County, Texas",5386,35.7,4233,298,3193,16,49321,28755,1016,96,2622,697,90800,48,153
"Foard County, Texas",1075,50.9,793,3,146,2,41944,27262,226,32,661,537,65000,48,155
"Fort Bend County, Texas",832607,36.9,340686,169120,209110,178091,109987,45172,57188,22100,282291,1669,329600,48,157
"Franklin County, Texas",10445,42.9,8248,474,1622,18,67915,39246,891,331,5143,951,194800,48,159
"Freestone County, Texas",19599,41.8,13839,2935,3297,62,55902,28201,2300,255,9080,785,154900,48,161
"Frio County, Texas",18151,33.1,11674,786,14415,113,56042,22779,3039,183,6335,797,98000,48,163
"Gaines County, Texas",21523,29.3,17011,390,9174,185,73299,28701,2708,311,7583,711,181100,48,165
"Galveston County, Texas",350801,38.1,238656,43035,90909,11781,83913,42603,37987,10490,156803,1301,260600,48,167
"Garza County, Texas",5735,41.8,4026,540,2684,67,56215,22188,663,182,2242,1048,87500,48,169
"Gillespie County, Texas",26953,49.7,23047,60,6574,81,70162,42067,2413,454,14107,1275,399400,48,171
"Glasscock County, Texas",1068,38.8,733,0,334,0,112188,50449,56,6,488,-666666666,258300,48,173
"Goliad County, Texas",7092,44.7,5546,377,2543,10,58125,36114,698,144,3532,788,172400,48,175
"Gonzales County, Texas",19736,36.8,13835,1253,10306,162,64255,32807,2540,90,8947,895,156100,48,177
"Gray County, Texas",21272,36.6,16510,993,6475,259,54563,30303,3316,516,10005,846,93600,48,179
"Grayson County, Texas",137008,39.2,111394,7560,19982,2057,66608,34643,15361,2606,58923,1096,206900,48,181
"Gregg County, Texas",124245,35.8,79841,24244,24391,1402,63811,32236,19907,2168,53265,1008,171900,48,183
"Grimes County, Texas",29442,40.3,20378,3509,7288,108,63484,28792,3719,696,12038,910,212500,48,185
"Guadalupe County, Texas",173828,37.3,114005,14857,67761,2951,88111,37184,14956,3676,65166,1278,258600,48,187
"Hale County, Texas",32525,33.4,22133,1318,20029,204,50721,23696,5596,682,13396,757,97500,48,189
"Hall County, Texas",2847,45.1,1948,186,1002,12,43873,26847,519,95,1754,554,68000,48,191
"Hamilton County, Texas",8244,45.0,7232,78,1160,3,54890,36764,1377,98,4352,865,122600,48,193
"Hansford County, Texas",5270,33.9,4131,11,2584,6,62350,27585,434,110,2283,823,101700,48,195
"Hardeman County, Texas",3541,44.1,2852,116,1011,43,60455,29783,390,46,1819,612,65800,48,197
"Hardin County, Texas",56576,39.4,49234,3491,3694,261,70164,33700,7506,1161,24308,955,175800,48,199
"Harris County, Texas",4726177,34.1,2175176,893393,2076103,333946,70789,38184,737681,155955,1851489,1269,235300,48,201
"Harrison County, Texas",69098,38.8,46326,14215,9597,421,63427,30613,10946,2001,29305,912,164400,48,203
"Hartley County, Texas",5369,39.7,4021,396,1460,14,78065,27850,270,27,1866,1102,226500,48,205
"Haskell County, Texas",5408,44.3,4345,323,1549,4,52786,37600,773,152,3101,862,69800,48,207
"Hays County, Texas",245351,33.2,173667,9511,98944,4151,79990,38909,30750,6732,94988,1355,335700,48,209
"Hemphill County, Texas",3371,40.8,2648,60,1201,0,67798,40940,204,66,1679,1025,200600,48,211
"Henderson County, Texas",82627,43.9,68511,4611,11544,551,59778,32513,11986,1959,40933,958,159600,48,213
"Hidalgo County, Texas",873167,29.8,445353,5389,807715,8281,49371,20844,239276,28099,296286,875,112700,48,215
"Hill County, Texas",36138,41.2,28841,2269,7910,282,60669,30730,4681,744,16236,893,142000,48,217
"Hockley County, Texas",21495,35.3,15029,627,10794,86,53283,28809,3129,539,9184,765,110800,48,219
"Hood County, Texas",62459,46.5,55583,642,8186,542,80013,41729,5467,1639,28396,1255,249400,48,221
"Hopkins County, Texas",37008,39.7,30096,2709,6605,281,63766,32100,4874,855,15698,958,172800,48,223
"Houston County, Texas",22107,43.9,14500,5368,2713,76,51043,25346,3374,368,10840,819,128300,48,225
"Howard County, Texas",34488,37.6,25493,2024,15398,408,67243,32431,4428,779,13974,981,132900,48,227
"Hudspeth County, Texas",3329,32.1,1235,24,2651,34,35163,16368,620,86,1143,531,57400,48,229
"Hunt County, Texas",101596,37.6,77750,7953,18869,1192,66885,31362,12082,2858,41050,1120,184000,48,231
"Hutchinson County, Texas",20595,38.3,16033,481,5045,133,62211,30038,2114,413,10190,881,96500,48,233
"Irion County, Texas",1561,39.5,1143,0,433,0,54708,29664,116,9,827,1145,149600,48,235
"Jack County, Texas",8588,39.2,7666,339,1537,60,58861,28626,1096,276,3816,889,135500,48,237
